id,uuid_a,gene_name_a,ncbi_id_b,uuid_b,gene_name_b,protein_name_b,alt_id_b,detection_method,pmid,analytic_throughput,source,curater_comments,meeting_imex_criteria,high_stringency_interactor
3330,O15294,OGT,Homo sapiens (Human),Q9NTK5,OLA1,Obg-like ATPase 1,refseq:NP_001011708|refseq:NP_037473|refseq:NP_001315617,pull down,32994395,High throughput,BioGRID,,,
3331,O15294,OGT,Homo sapiens (Human),O95218,ZRANB2,Zinc finger Ran-binding domain-containing protein 2,refseq:NP_976225|refseq:NP_005446,pull down,32994395,High throughput,BioGRID,,,
3332,O15294,OGT,Homo sapiens (Human),P30050,RPL12,60S ribosomal protein L12,refseq:NP_000967,pull down,32994395,High throughput,BioGRID,,,
3333,O15294,OGT,Homo sapiens (Human),P54709,ATP1B3,Sodium/potassium-transporting ATPase subunit beta-3,refseq:NP_001670,pull down,32994395,High throughput,BioGRID,,,
3334,O15294,OGT,Homo sapiens (Human),O95219,SNX4,Sorting nexin-4,refseq:NP_003785,pull down,32994395,High throughput,BioGRID,,,
3335,O15294,OGT,Homo sapiens (Human),Q14978,NOLC1,Nucleolar and coiled-body phosphoprotein 1,refseq:NP_004732|refseq:NP_001271317|refseq:NP_001271318,pull down,32994395,High throughput,BioGRID,,,
3336,O15294,OGT,Homo sapiens (Human),Q9BTY2,FUCA2,Plasma alpha-L-fucosidase,refseq:NP_114409,pull down,32994395,High throughput,BioGRID,,,
3337,O15294,OGT,Homo sapiens (Human),P08133,ANXA6,Annexin A6,refseq:NP_001350043|refseq:NP_001180473|refseq:NP_001146,pull down,32994395,High throughput,BioGRID,,,
3338,O15294,OGT,Homo sapiens (Human),Q6UWZ7,ABRAXAS1,BRCA1-A complex subunit Abraxas 1,refseq:NP_001332891|refseq:NP_620775,pull down,32994395,High throughput,BioGRID,,,
3339,O15294,OGT,Homo sapiens (Human),Q9BZV1,UBXN6,UBX domain-containing protein 6,refseq:NP_079517|refseq:NP_001164562,pull down,32994395,High throughput,BioGRID,,,
3340,O15294,OGT,Homo sapiens (Human),P20073,ANXA7,Annexin A7,refseq:NP_001307808|refseq:NP_004025|refseq:NP_001147|refseq:NP_001307809,pull down,32994395,High throughput,BioGRID,,,
3341,O15294,OGT,Homo sapiens (Human),Q14974,KPNB1,Importin subunit beta-1,refseq:NP_001263382|refseq:NP_002256,pull down,32994395,High throughput,BioGRID,,,
3342,O15294,OGT,Homo sapiens (Human),Q92485,SMPDL3B,Acid sphingomyelinase-like phosphodiesterase 3b,refseq:NP_055289|refseq:NP_001009568,pull down,32994395,High throughput,BioGRID,,,
3343,O15294,OGT,Homo sapiens (Human),P68366,TUBA4A,Tubulin alpha-4A chain,refseq:NP_001265481|refseq:NP_005991,pull down,32994395,High throughput,BioGRID,,,
3344,O15294,OGT,Homo sapiens (Human),P42785,PRCP,Lysosomal Pro-X carboxypeptidase,refseq:NP_001306143|refseq:NP_955450|refseq:NP_005031,pull down,32994395,High throughput,BioGRID,,,
3345,O15294,OGT,Homo sapiens (Human),Q14653,IRF3,Interferon regulatory factor 3,refseq:NP_001562|refseq:NP_001184056|refseq:NP_001184057|refseq:NP_001184054|refseq:NP_001184055|refseq:NP_001184052|refseq:NP_001184053|refseq:NP_001184051,pull down,32994395,High throughput,BioGRID,,,
3346,O15294,OGT,Homo sapiens (Human),Q8WUB8,PHF10,PHD finger protein 10,refseq:NP_060758|refseq:NP_579866,pull down,32994395,High throughput,BioGRID,,,
3347,O15294,OGT,Homo sapiens (Human),Q7Z417,NUFIP2,Nuclear fragile X mental retardation-interacting protein 2,refseq:NP_065823,pull down,32994395,High throughput,BioGRID,,,
3348,O15294,OGT,Homo sapiens (Human),Q9UDR5,AASS,"Alpha-aminoadipic semialdehyde synthase, mitochondrial",refseq:NP_005754,pull down,32994395,High throughput,BioGRID,,,
3349,O15294,OGT,Homo sapiens (Human),O75381,PEX14,Peroxisomal membrane protein PEX14,refseq:NP_004556,pull down,32994395,High throughput,BioGRID,,,
3350,O15294,OGT,Homo sapiens (Human),O75879,GATB,"Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial",refseq:NP_004555,pull down,32994395,High throughput,BioGRID,,,
3351,O15294,OGT,Homo sapiens (Human),P30154,PPP2R1B,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform,refseq:NP_859051|refseq:NP_859050|refseq:NP_002707|refseq:NP_001171033|refseq:NP_001171034,pull down,32994395,High throughput,BioGRID,,,
3352,O15294,OGT,Homo sapiens (Human),Q32P41,TRMT5,tRNA (guanine(37)-N1)-methyltransferase,refseq:NP_065861,pull down,32994395,High throughput,BioGRID,,,
3353,O15294,OGT,Homo sapiens (Human),Q6NYC1,JMJD6,Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6,refseq:NP_055982|refseq:NP_001074930,pull down,32994395,High throughput,BioGRID,,,
3354,O15294,OGT,Homo sapiens (Human),O75475,PSIP1,PC4 and SFRS1-interacting protein,refseq:NP_150091|refseq:NP_066967|refseq:NP_001304827|refseq:NP_001304829|refseq:NP_001121689,pull down,32994395,High throughput,BioGRID,,,
3355,O15294,OGT,Homo sapiens (Human),P78344,EIF4G2,Eukaryotic translation initiation factor 4 gamma 2,refseq:NP_001409|refseq:NP_001166176|refseq:NP_001036024,pull down,32994395,High throughput,BioGRID,,,
3356,O15294,OGT,Homo sapiens (Human),Q8ND56,LSM14A,Protein LSM14 homolog A,refseq:NP_001371353|refseq:NP_001371352|refseq:NP_001371351|refseq:NP_001371350|refseq:NP_001371357|refseq:NP_001371356|refseq:NP_001371355|refseq:NP_001371354|refseq:NP_056393|refseq:NP_001371349|refseq:NP_001371359|refseq:NP_001371358|refseq:NP_001107565|refseq:NP_001371366|refseq:NP_001371362|refseq:NP_001371363|refseq:NP_001371360|refseq:NP_001371361,pull down,32994395,High throughput,BioGRID,,,
3357,O15294,OGT,Homo sapiens (Human),Q9H3H1,TRIT1,tRNA dimethylallyltransferase,refseq:NP_060116,pull down,32994395,High throughput,BioGRID,,,
3358,O15294,OGT,Homo sapiens (Human),Q9C0E8,LNPK,Endoplasmic reticulum junction formation protein lunapark,refseq:NP_001291940|refseq:NP_001291938|refseq:NP_001291939|refseq:NP_001291937|refseq:NP_085153,pull down,32994395,High throughput,BioGRID,,,
