id,uuid_a,gene_name_a,ncbi_id_b,uuid_b,gene_name_b,protein_name_b,alt_id_b,detection_method,pmid,analytic_throughput,source,curater_comments,meeting_imex_criteria,high_stringency_interactor
1,O15294,OGT,Homo sapiens (Human),Q9H1M0,NUP62CL,Nucleoporin-62 C-terminal-like protein,refseq:NP_060151,two hybrid,16189514,High throughput,BioGRID,,,
2,O15294,OGT,Homo sapiens (Human),O43427,FIBP,Acidic fibroblast growth factor intracellular-binding protein,refseq:NP_004205|refseq:NP_942600,affinity chromatography technology,17353931,High throughput,BioGRID,,,
3,O15294,OGT,Homo sapiens (Human),P24941,CDK2,Cyclin-dependent kinase 2,refseq:NP_001277159|refseq:NP_001789|refseq:NP_439892,affinity chromatography technology,17353931,High throughput,BioGRID,,,
4,O15294,OGT,Homo sapiens (Human),Q9P2S5,WRAP73,WD repeat-containing protein WRAP73,refseq:NP_060288,affinity chromatography technology,17353931,High throughput,BioGRID,,,
5,O15294,OGT,Homo sapiens (Human),Q9UPV9,TRAK1,Trafficking kinesin-binding protein 1,refseq:NP_001036111|refseq:NP_001252537|refseq:NP_001252539|refseq:NP_055780,pull down,12724313,Low throughput,BioGRID,,,
6,O15294,OGT,Homo sapiens (Human),P51610,HCFC1,Host cell factor 1,refseq:NP_005325|refseq:XP_006724879,affinity chromatography technology,12670868,Low throughput,BioGRID,,,
7,Q8CGY8,OGT,Mus musculus (Mouse),Q7TMY8,Huwe1,E3 ubiquitin-protein ligase HUWE1,refseq:NP_067498,two hybrid,28671696,High throughput,BioGRID,,,
8,Q8CGY8,OGT,Mus musculus (Mouse),Q61539,Esrrb,Steroid hormone receptor ERR2,refseq:NP_001152972|refseq:NP_036064,affinity chromatography technology,26206133,High throughput,BioGRID,,,
9,Q8CGY8,OGT,Mus musculus (Mouse),Q8C0J2,Atg16l1,Autophagy-related protein 16-1,refseq:NP_001192320|refseq:NP_084122,affinity chromatography technology,30196744,High throughput,BioGRID,,,
10,O15294,OGT,Homo sapiens (Human),Q96ST3,SIN3A,Paired amphipathic helix protein Sin3a,refseq:NP_001138829|refseq:NP_001138830|refseq:NP_056292|refseq:XP_006720528|refseq:XP_006720529|refseq:XP_006720530,pull down,12150998,Low throughput,BioGRID,,,
11,O15294,OGT,Homo sapiens (Human),Q96ST3,SIN3A,Paired amphipathic helix protein Sin3a,refseq:NP_001138829|refseq:NP_001138830|refseq:NP_056292|refseq:XP_006720528|refseq:XP_006720529|refseq:XP_006720530,two hybrid,12150998,Low throughput,BioGRID,,,
12,O15294,OGT,Homo sapiens (Human),Q96ST3,SIN3A,Paired amphipathic helix protein Sin3a,refseq:NP_001138829|refseq:NP_001138830|refseq:NP_056292|refseq:XP_006720528|refseq:XP_006720529|refseq:XP_006720530,affinity chromatography technology,12150998,Low throughput,BioGRID,,,
13,O15294,OGT,Homo sapiens (Human),Q92560,BAP1,Ubiquitin carboxyl-terminal hydrolase BAP1,refseq:NP_004647,affinity chromatography technology,19615732,High throughput,BioGRID,,,
14,O15294,OGT,Homo sapiens (Human),Q9Y297,BTRC,F-box/WD repeat-containing protein 1A,refseq:NP_003930|refseq:NP_378663,affinity chromatography technology,19615732,High throughput,BioGRID,,,
15,O15294,OGT,Homo sapiens (Human),Q9UKB1,FBXW11,F-box/WD repeat-containing protein 11,refseq:NP_036432|refseq:NP_387448|refseq:NP_387449,affinity chromatography technology,19615732,High throughput,BioGRID,,,
16,O15294,OGT,Homo sapiens (Human),Q8WTV1,THAP3,THAP domain-containing protein 3,refseq:NP_001182681|refseq:NP_001182682|refseq:NP_612359|refseq:XP_005263589,affinity chromatography technology,20200153,Low throughput,BioGRID,,,
17,O15294,OGT,Homo sapiens (Human),Q9NVV9,THAP1,THAP domain-containing protein 1,refseq:NP_060575|refseq:NP_945354,affinity chromatography technology,20200153,Low throughput,BioGRID,,,
18,O15294,OGT,Homo sapiens (Human),P51610,HCFC1,Host cell factor 1,refseq:NP_005325|refseq:XP_006724879,affinity chromatography technology,20200153,Low throughput,BioGRID,,,
19,O15294,OGT,Homo sapiens (Human),Q9UBL3,ASH2L,Set1/Ash2 histone methyltransferase complex subunit ASH2,refseq:NP_001098684|refseq:NP_001248761|refseq:NP_004665,affinity chromatography technology,31076518,High throughput,BioGRID,,,
20,O15294,OGT,Homo sapiens (Human),Q15291,RBBP5,Retinoblastoma-binding protein 5,refseq:NP_001180201|refseq:NP_001180202|refseq:NP_005048,affinity chromatography technology,31076518,High throughput,BioGRID,,,
21,O15294,OGT,Homo sapiens (Human),O15047,SETD1A,Histone-lysine N-methyltransferase SETD1A,refseq:NP_055527|refseq:XP_005255780|refseq:XP_006721169|refseq:XP_016879398,affinity chromatography technology,31076518,High throughput,BioGRID,,,
22,O15294,OGT,Homo sapiens (Human),Q9P2N6,KANSL3,KAT8 regulatory NSL complex subunit 3,refseq:NP_001108488|refseq:XP_005264041,affinity chromatography technology,31881804,Low throughput,BioGRID,,,
23,O15294,OGT,Homo sapiens (Human),Q15796,SMAD2,Mothers against decapentaplegic homolog 2,refseq:NP_001003652|refseq:NP_005892|refseq:XP_005258316|refseq:XP_006722514|refseq:XP_016881234|refseq:XP_016881235,affinity chromatography technology,27703004,High throughput,BioGRID,,,
24,Q8CGY8,OGT,Mus musculus (Mouse),Q7TMY8,Huwe1,E3 ubiquitin-protein ligase HUWE1,refseq:NP_067498,biochemical,32325033,High throughput,BioGRID,,,
25,Q8CGY8,OGT,Mus musculus (Mouse),Q8BFQ4,Wdr82,WD repeat-containing protein 82,refseq:NP_084172,pull down,32325033,High throughput,BioGRID,,,
26,Q8CGY8,OGT,Mus musculus (Mouse),Q9D2P4,Urm1,Ubiquitin-related modifier 1,refseq:NP_080891,pull down,32325033,High throughput,BioGRID,,,
27,O15294,OGT,Homo sapiens (Human),O60502,OGA,Protein O-GlcNAcase,refseq:NP_001135906|refseq:NP_036347,affinity chromatography technology,16505006,Low throughput,BioGRID,,,
28,O15294,OGT,Homo sapiens (Human),O60502,OGA,Protein O-GlcNAcase,refseq:NP_001135906|refseq:NP_036347,pull down,16505006,Low throughput,BioGRID,,,
29,O15294,OGT,Homo sapiens (Human),Q96ST3,SIN3A,Paired amphipathic helix protein Sin3a,refseq:NP_001138829|refseq:NP_001138830|refseq:NP_056292|refseq:XP_006720528|refseq:XP_006720529|refseq:XP_006720530,affinity chromatography technology,16505006,Low throughput,BioGRID,,,
30,O15294,OGT,Homo sapiens (Human),Q8TEE9,SAP25,Histone deacetylase complex subunit SAP25,refseq:NP_001335606,affinity chromatography technology,16449650,High throughput,BioGRID,,,
31,O15294,OGT,Homo sapiens (Human),P37198,NUP62,Nuclear pore glycoprotein p62,refseq:NP_001180286|refseq:NP_036478|refseq:NP_057637|refseq:NP_714940|refseq:NP_714941,affinity chromatography technology,16434389,Low throughput,BioGRID,,,
32,O15294,OGT,Homo sapiens (Human),O60502,OGA,Protein O-GlcNAcase,refseq:NP_001135906|refseq:NP_036347,affinity chromatography technology,16434389,Low throughput,BioGRID,,,
33,O15294,OGT,Homo sapiens (Human),P68400,CSNK2A1,Casein kinase II subunit alpha,refseq:NP_001886|refseq:NP_808227|refseq:NP_808228,affinity chromatography technology,16434389,Low throughput,BioGRID,,,
34,O15294,OGT,Homo sapiens (Human),P10636,MAPT,Microtubule-associated protein tau,refseq:NP_001116538|refseq:NP_001116539|refseq:NP_001190181|refseq:NP_005901|refseq:NP_058518|refseq:NP_058519|refseq:NP_058525,affinity chromatography technology,16434389,Low throughput,BioGRID,,,
35,O15294,OGT,Homo sapiens (Human),P07947,YES1,Tyrosine-protein kinase Yes,refseq:NP_005424|refseq:XP_016881449,affinity chromatography technology,16434389,Low throughput,BioGRID,,,
36,O15294,OGT,Homo sapiens (Human),Q9H7Z6,KAT8,Histone acetyltransferase KAT8,refseq:NP_115564|refseq:NP_892003,affinity chromatography technology,20479123,Low throughput,BioGRID,,,
37,O15294,OGT,Homo sapiens (Human),P51610,HCFC1,Host cell factor 1,refseq:NP_005325|refseq:XP_006724879,affinity chromatography technology,21285374,Low throughput,BioGRID,,,
38,O15294,OGT,Homo sapiens (Human),P10809,HSPD1,"60 kDa heat shock protein, mitochondrial",refseq:NP_002147|refseq:NP_955472,affinity chromatography technology,30021884,High throughput,BioGRID,,,
39,O15294,OGT,Homo sapiens (Human),Q9UQL6,HDAC5,Histone deacetylase 5,refseq:NP_001015053|refseq:NP_005465|refseq:XP_005256963,biochemical,21081666,Low throughput,BioGRID,,,
40,O15294,OGT,Homo sapiens (Human),Q6N021,TET2,Methylcytosine dioxygenase TET2,refseq:NP_001120680|refseq:NP_060098|refseq:XP_005263139,affinity chromatography technology,30404004,Low throughput,BioGRID,,,
41,O15294,OGT,Homo sapiens (Human),Q8TAD8,SNIP1,Smad nuclear-interacting protein 1,refseq:NP_078976,affinity chromatography technology,30404004,High throughput,BioGRID,,,
42,O15294,OGT,Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2),P0DTD1,rep,Replicase polyprotein 1ab,refseq:YP_009724389,affinity chromatography technology,10.1101/2020.08.28.272955,High throughput,BioGRID,,,
43,O15294,OGT,Homo sapiens (Human),P03372,ESR1,Estrogen receptor,refseq:NP_000116|refseq:NP_001116212|refseq:NP_001116213|refseq:NP_001116214|refseq:NP_001278159|refseq:NP_001278170|refseq:NP_001315029|refseq:XP_006715438|refseq:XP_011533845|refseq:XP_011533846|refseq:XP_011533847|refseq:XP_016865865|refseq:XP_016865866|refseq:XP_016865867|refseq:XP_016865868|refseq:XP_016865869|refseq:XP_016865870,affinity chromatography technology,31527615,High throughput,BioGRID,,,
44,O15294,OGT,Mus musculus (Mouse),Q6ZQH8,Nup188,Nucleoporin NUP188,refseq:NP_938046,affinity chromatography technology,20360068,High throughput,BioGRID,,,
45,O15294,OGT,Mus musculus (Mouse),Q9CQU5,Zwint,ZW10 interactor,refseq:NP_001280612|refseq:NP_001280613|refseq:NP_079911,affinity chromatography technology,20360068,High throughput,BioGRID,,,
46,O15294,OGT,Mus musculus (Mouse),Q9D1P2,Kat8,Histone acetyltransferase KAT8,refseq:NP_080646,biochemical,20360068,High throughput,BioGRID,,,
47,O15294,OGT,Mus musculus (Mouse),Q80U93,Nup214,Nuclear pore complex protein Nup214,refseq:NP_758472,biochemical,20360068,High throughput,BioGRID,,,
48,O15294,OGT,Homo sapiens (Human),Q92560,BAP1,Ubiquitin carboxyl-terminal hydrolase BAP1,refseq:NP_004647,biochemical,20805357,Low throughput,BioGRID,,,
49,O15294,OGT,Homo sapiens (Human),Q15750,TAB1,TGF-beta-activated kinase 1 and MAP3K7-binding protein 1,refseq:NP_006107|refseq:NP_705717,affinity chromatography technology,22307082,Low throughput,BioGRID,,,
50,O15294,OGT,Homo sapiens (Human),P51610,HCFC1,Host cell factor 1,refseq:NP_005325|refseq:XP_006724879,affinity chromatography technology,21295698,Low throughput,BioGRID,,,
51,O15294,OGT,Homo sapiens (Human),Q29RF7,PDS5A,Sister chromatid cohesion protein PDS5 homolog A,refseq:NP_001093869|refseq:NP_001093870|refseq:XP_011511974|refseq:XP_016863417,affinity chromatography technology,31010829,High throughput,BioGRID,,,
52,O15294,OGT,Homo sapiens (Human),O15016,TRIM66,Tripartite motif-containing protein 66,refseq:NP_055633,affinity chromatography technology,31753913,High throughput,BioGRID,,,
53,O15294,OGT,Human cytomegalovirus (strain Merlin) (HHV-5) (Human herpesvirus 5),F5HE12,UL35,Tegument protein UL35,refseq:YP_081494,affinity chromatography technology,22072767,Low throughput,BioGRID,,,
54,O15294,OGT,Homo sapiens (Human),P51610,HCFC1,Host cell factor 1,refseq:NP_005325|refseq:XP_006724879,two hybrid,22939629,High throughput,BioGRID,,,
55,O15294,OGT,Homo sapiens (Human),P46013,MKI67,Proliferation marker protein Ki-67,refseq:NP_001139438|refseq:NP_002408,affinity chromatography technology,26949251,High throughput,BioGRID,,,
56,O15294,OGT,Homo sapiens (Human),P62136,PPP1CA,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit,refseq:NP_001008709|refseq:NP_002699|refseq:NP_996756,affinity chromatography technology,22939629,High throughput,BioGRID,,,
57,Q8CGY8,OGT,Mus musculus (Mouse),Q9EQQ9,Oga,Protein O-GlcNAcase,refseq:NP_076288,affinity chromatography technology,32325033,High throughput,BioGRID,,,
58,O15294,OGT,Homo sapiens (Human),P62140,PPP1CB,Serine/threonine-protein phosphatase PP1-beta catalytic subunit,refseq:NP_002700|refseq:NP_996759,affinity chromatography technology,22939629,High throughput,BioGRID,,,
59,Q8CGY8,OGT,Mus musculus (Mouse),P10518,Alad,Delta-aminolevulinic acid dehydratase,refseq:NP_001263375|refseq:NP_032551|refseq:XP_006537702,affinity chromatography technology,32325033,High throughput,BioGRID,,,
60,O15294,OGT,Homo sapiens (Human),Q04206,RELA,Transcription factor p65,refseq:NP_001138610|refseq:NP_001230913|refseq:NP_068810,biochemical,17882263,Low throughput,BioGRID,,,
61,O15294,OGT,Homo sapiens (Human),O95644,NFATC1,"Nuclear factor of activated T-cells, cytoplasmic 1",refseq:NP_001265598|refseq:NP_001265599|refseq:NP_001265601|refseq:NP_001265602|refseq:NP_001265604|refseq:NP_006153|refseq:NP_765975|refseq:NP_765976|refseq:NP_765977|refseq:NP_765978,biochemical,17882263,Low throughput,BioGRID,,,
62,O15294,OGT,Rattus norvegicus (Rat),P17955,Nup62,Nuclear pore glycoprotein p62,refseq:NP_075586|refseq:XP_006229212|refseq:XP_006229213,biochemical,17882263,Low throughput,BioGRID,,,
63,O15294,OGT,Homo sapiens (Human),O15294,OGT,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,refseq:NP_858058|refseq:NP_858059|refseq:XP_016885396|refseq:XP_016885397,biochemical,17882263,Low throughput,BioGRID,,,
64,O15294,OGT,Homo sapiens (Human),Q9HCE7,SMURF1,E3 ubiquitin-protein ligase SMURF1,refseq:NP_001186776|refseq:NP_065162|refseq:NP_851994,biochemical,23184937,High throughput,BioGRID,,,
65,O15294,OGT,Homo sapiens (Human),P28838,LAP3,Cytosol aminopeptidase,refseq:NP_056991,biochemical,23088713,High throughput|Low throughput,BioGRID,,,
66,O15294,OGT,Homo sapiens (Human),P98177,FOXO4,Forkhead box protein O4,refseq:NP_001164402|refseq:NP_005929,biochemical,19932102,Low throughput,BioGRID,,,
67,O15294,OGT,Homo sapiens (Human),P11441,UBL4A,Ubiquitin-like protein 4A,refseq:NP_055050,biochemical,23246001,High throughput,BioGRID,,,
68,O15294,OGT,Homo sapiens (Human),P61160,ACTR2,Actin-related protein 2,refseq:NP_001005386|refseq:NP_005713,biochemical,22863883,High throughput,BioGRID,,,
69,O15294,OGT,Homo sapiens (Human),P52594,AGFG1,Arf-GAP domain and FG repeat-containing protein 1,refseq:NP_001128659|refseq:NP_001128660|refseq:NP_001128661|refseq:NP_004495,biochemical,22863883,High throughput,BioGRID,,,
70,O15294,OGT,Homo sapiens (Human),P13716,ALAD,Delta-aminolevulinic acid dehydratase,refseq:NP_000022|refseq:NP_001003945|refseq:XP_011516666,biochemical,22863883,High throughput,BioGRID,,,
71,O15294,OGT,Homo sapiens (Human),Q9BXV9,GON7,EKC/KEOPS complex subunit GON7,refseq:NP_115879,biochemical,22863883,High throughput,BioGRID,,,
72,O15294,OGT,Homo sapiens (Human),Q9UJU6,DBNL,Drebrin-like protein,refseq:NP_001014436|refseq:NP_001116428|refseq:NP_001271242|refseq:NP_001271244|refseq:NP_054782,biochemical,22863883,High throughput,BioGRID,,,
73,O15294,OGT,Homo sapiens (Human),Q9HCN4,GPN1,GPN-loop GTPase 1,refseq:NP_001138519|refseq:NP_001138520|refseq:NP_001138521|refseq:NP_009197,biochemical,22863883,High throughput,BioGRID,,,
74,O15294,OGT,Homo sapiens (Human),Q9NZL4,HSPBP1,Hsp70-binding protein 1,refseq:NP_001123578|refseq:NP_001284529|refseq:NP_036399|refseq:XP_016882033,affinity chromatography technology,22863883,High throughput,BioGRID,,,
75,O15294,OGT,Homo sapiens (Human),P28838,LAP3,Cytosol aminopeptidase,refseq:NP_056991,affinity chromatography technology,22863883,High throughput,BioGRID,,,
76,O15294,OGT,Homo sapiens (Human),Q32P28,P3H1,Prolyl 3-hydroxylase 1,refseq:NP_001139761|refseq:NP_001230175|refseq:NP_071751,affinity chromatography technology,22863883,High throughput,BioGRID,,,
77,O15294,OGT,Homo sapiens (Human),Q93052,LPP,Lipoma-preferred partner,refseq:NP_001161143|refseq:NP_005569|refseq:XP_005247503|refseq:XP_005247507|refseq:XP_005247508|refseq:XP_005247510|refseq:XP_011511122|refseq:XP_011511129|refseq:XP_011511130|refseq:XP_011511133|refseq:XP_011511135|refseq:XP_011511136|refseq:XP_016861866|refseq:XP_016861867|refseq:XP_016861868|refseq:XP_016861869,affinity chromatography technology,22863883,High throughput,BioGRID,,,
78,O15294,OGT,Homo sapiens (Human),Q9Y570,PPME1,Protein phosphatase methylesterase 1,refseq:NP_001258522|refseq:NP_057231,two hybrid,22863883,High throughput,BioGRID,,,
79,O15294,OGT,Homo sapiens (Human),Q9NQG5,RPRD1B,Regulation of nuclear pre-mRNA domain-containing protein 1B,refseq:NP_067038,two hybrid,22863883,High throughput,BioGRID,,,
80,O15294,OGT,Homo sapiens (Human),Q15527,SURF2,Surfeit locus protein 2,refseq:NP_001265857|refseq:NP_059973,two hybrid,22863883,High throughput,BioGRID,,,
81,O15294,OGT,Homo sapiens (Human),O75674,TOM1L1,TOM1-like protein 1,refseq:NP_001308102|refseq:NP_001308103|refseq:NP_001308104|refseq:NP_001308105|refseq:NP_005477|refseq:XP_016879491,two hybrid,22863883,High throughput,BioGRID,,,
82,O15294,OGT,Homo sapiens (Human),P57081,WDR4,tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit WDR4,refseq:NP_001247403|refseq:NP_001247404|refseq:NP_001247405|refseq:NP_001247406|refseq:NP_061139|refseq:NP_387510,affinity chromatography technology,22863883,High throughput,BioGRID,,,
83,O15294,OGT,Homo sapiens (Human),Q9H741,SPRING1,SREBP regulating gene protein,refseq:NP_079014,affinity chromatography technology,32694731,High throughput,BioGRID,,,
84,O15294,OGT,Homo sapiens (Human),O75312,ZPR1,Zinc finger protein ZPR1,refseq:NP_001304015|refseq:NP_003895,affinity chromatography technology,22863883,High throughput,BioGRID,,,
85,O15294,OGT,Homo sapiens (Human),Q9NZC7,WWOX,WW domain-containing oxidoreductase,refseq:NP_001278926|refseq:NP_057457|refseq:NP_570607,affinity chromatography technology,24550385,High throughput,BioGRID,,,
86,O15294,OGT,Homo sapiens (Human),Q92560,BAP1,Ubiquitin carboxyl-terminal hydrolase BAP1,refseq:NP_004647,affinity chromatography technology,24703950,Low throughput,BioGRID,,,
87,O15294,OGT,Homo sapiens (Human),Q7Z6Z7,HUWE1,E3 ubiquitin-protein ligase HUWE1,refseq:NP_113584|refseq:XP_005262022,affinity chromatography technology,25147182,High throughput,BioGRID,,,
88,O15294,OGT,Homo sapiens (Human),Q9UKB1,FBXW11,F-box/WD repeat-containing protein 11,refseq:NP_036432|refseq:NP_387448|refseq:NP_387449,affinity chromatography technology,25332235,High throughput,BioGRID,,,
89,O15294,OGT,Homo sapiens (Human),P11464,PSG1,Pregnancy-specific beta-1-glycoprotein 1,refseq:NP_001171754|refseq:NP_001171755|refseq:NP_001284702|refseq:NP_008836,affinity chromatography technology,25416956,High throughput,BioGRID,,,
90,O15294,OGT,Homo sapiens (Human),Q6N021,TET2,Methylcytosine dioxygenase TET2,refseq:NP_001120680|refseq:NP_060098|refseq:XP_005263139,affinity chromatography technology,25416956,High throughput,BioGRID,,,
91,O15294,OGT,Homo sapiens (Human),Q9H1M0,NUP62CL,Nucleoporin-62 C-terminal-like protein,refseq:NP_060151,affinity chromatography technology,25416956,High throughput,BioGRID,,,
92,O15294,OGT,Homo sapiens (Human),O60885,BRD4,Bromodomain-containing protein 4,refseq:NP_001317313|refseq:NP_055114|refseq:NP_490597|refseq:XP_011526156|refseq:XP_011526158,affinity chromatography technology,32416067,High throughput,BioGRID,,,
93,O15294,OGT,Homo sapiens (Human),Q8NDX5,PHC3,Polyhomeotic-like protein 3,refseq:NP_001295045|refseq:NP_079223,biochemical,25416956,High throughput,BioGRID,,,
94,O15294,OGT,Homo sapiens (Human),Q9UBU9,NXF1,Nuclear RNA export factor 1,refseq:NP_001074960|refseq:NP_006353,biochemical,22658674,High throughput,BioGRID,,,
95,O15294,OGT,Homo sapiens (Human),Q9Y297,BTRC,F-box/WD repeat-containing protein 1A,refseq:NP_003930|refseq:NP_378663,biochemical,25900982,High throughput,BioGRID,,,
96,O15294,OGT,Homo sapiens (Human),Q9UKB1,FBXW11,F-box/WD repeat-containing protein 11,refseq:NP_036432|refseq:NP_387448|refseq:NP_387449,biochemical,25900982,High throughput,BioGRID,,,
97,O15294,OGT,Homo sapiens (Human),O60296,TRAK2,Trafficking kinesin-binding protein 2,refseq:NP_055864|refseq:XP_011509992,biochemical,26186194,High throughput,BioGRID,,,
98,O15294,OGT,Homo sapiens (Human),O95865,DDAH2,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 2",refseq:NP_001289936|refseq:NP_001289937|refseq:NP_039268|refseq:XP_011512750,biochemical,26186194,High throughput,BioGRID,,,
99,O15294,OGT,Homo sapiens (Human),O43889,CREB3,Cyclic AMP-responsive element-binding protein 3,refseq:NP_006359,biochemical,26186194,High throughput,BioGRID,,,
100,O15294,OGT,Homo sapiens (Human),Q96EK4,THAP11,THAP domain-containing protein 11,refseq:NP_065190,biochemical,26186194,High throughput,BioGRID,,,
101,O15294,OGT,Homo sapiens (Human),Q9P0J7,KCMF1,E3 ubiquitin-protein ligase KCMF1,refseq:NP_064507,affinity chromatography technology,25582440,High throughput,BioGRID,,,
102,Q8CGY8,OGT,Mus musculus (Mouse),Q8BVQ5,Ppme1,Protein phosphatase methylesterase 1,refseq:NP_082568,genetic interference,32325033,High throughput,BioGRID,,,
103,Q8CGY8,OGT,Mus musculus (Mouse),Q61548,Snap91,Clathrin coat assembly protein AP180,refseq:NP_001264911|refseq:NP_001264915|refseq:NP_038697|refseq:XP_006510957|refseq:XP_006510963,genetic interference,32325033,High throughput,BioGRID,,,
104,Q8CGY8,OGT,Mus musculus (Mouse),Q8K2K6,Agfg1,Arf-GAP domain and FG repeat-containing protein 1,refseq:NP_001297642|refseq:NP_034602|refseq:XP_006496496,genetic interference,32325033,High throughput,BioGRID,,,
105,Q8CGY8,OGT,Mus musculus (Mouse),Q99P31,Hspbp1,Hsp70-binding protein 1,refseq:NP_077134|refseq:XP_006540351,genetic interference,32325033,High throughput,BioGRID,,,
106,Q8CGY8,OGT,Mus musculus (Mouse),Q62384,Zpr1,Zinc finger protein ZPR1,refseq:NP_035882,genetic interference,32325033,High throughput,BioGRID,,,
107,Q8CGY8,OGT,Mus musculus (Mouse),Q9EP82,Wdr4,tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit WDR4,refseq:NP_067297,genetic interference,32325033,High throughput,BioGRID,,,
108,Q8CGY8,OGT,Mus musculus (Mouse),P48432,Sox2,Transcription factor SOX-2,refseq:NP_035573,genetic interference,31077711,High throughput,BioGRID,,,
109,P56558,OGT,Rattus norvegicus (Rat),Q8R2H7,Trak2,Trafficking kinesin-binding protein 2,refseq:NP_598244,genetic interference,12435728,Low throughput,BioGRID,,,
110,P56558,OGT,Rattus norvegicus (Rat),Q9ER24,Atxn10,Ataxin-10,refseq:NP_579847,genetic interference,16714295,Low throughput,BioGRID,,,
111,O15294,OGT,Homo sapiens (Human),Q9C0B0,UNK,RING finger protein unkempt homolog,refseq:NP_001073888,bioid,25737280,High throughput,BioGRID,,,
112,O15294,OGT,Homo sapiens (Human),P46109,CRKL,Crk-like protein,refseq:NP_005198,two hybrid,26344197,High throughput,BioGRID,,,
113,O15294,OGT,Homo sapiens (Human),Q9Y285,FARSA,Phenylalanine--tRNA ligase alpha subunit,refseq:NP_004452,affinity chromatography technology,26344197,High throughput,BioGRID,,,
114,O15294,OGT,Homo sapiens (Human),Q9NSD9,FARSB,Phenylalanine--tRNA ligase beta subunit,refseq:NP_005678|refseq:XP_006712232|refseq:XP_011508768|refseq:XP_016858599,affinity chromatography technology,26344197,High throughput,BioGRID,,,
115,O15294,OGT,Homo sapiens (Human),O14908,GIPC1,PDZ domain-containing protein GIPC1,refseq:NP_005707|refseq:NP_974197|refseq:NP_974198|refseq:NP_974199|refseq:NP_974223|refseq:XP_016881636|refseq:XP_016881637,affinity chromatography technology,26344197,High throughput,BioGRID,,,
116,O15294,OGT,Homo sapiens (Human),O00764,PDXK,Pyridoxal kinase,refseq:NP_003672|refseq:XP_005261256|refseq:XP_011528062|refseq:XP_011528063|refseq:XP_016883972|refseq:XP_016883973,affinity chromatography technology,26344197,High throughput,BioGRID,,,
117,O15294,OGT,Homo sapiens (Human),P78330,PSPH,Phosphoserine phosphatase,refseq:NP_004568|refseq:XP_005271830|refseq:XP_005271831|refseq:XP_005271832|refseq:XP_005271833|refseq:XP_006715823|refseq:XP_011513763|refseq:XP_016867955|refseq:XP_016867956,affinity chromatography technology,26344197,High throughput,BioGRID,,,
118,O15294,OGT,Homo sapiens (Human),O43399,TPD52L2,Tumor protein D54,refseq:NP_001230821|refseq:NP_003279|refseq:NP_955392|refseq:NP_955393|refseq:NP_955394|refseq:NP_955395,affinity chromatography technology,26344197,High throughput,BioGRID,,,
119,O15294,OGT,Homo sapiens (Human),P68402,PAFAH1B2,Platelet-activating factor acetylhydrolase IB subunit alpha2,refseq:NP_001171675|refseq:NP_001171676|refseq:NP_001171677|refseq:NP_001296360|refseq:NP_002563,affinity chromatography technology,26344197,High throughput,BioGRID,,,
120,O15294,OGT,Homo sapiens (Human),P04629,NTRK1,High affinity nerve growth factor receptor,refseq:NP_001007793|refseq:NP_001012331|refseq:NP_002520,affinity chromatography technology,25921289,High throughput,BioGRID,,,
121,O15294,OGT,Homo sapiens (Human),P37198,NUP62,Nuclear pore glycoprotein p62,refseq:NP_001180286|refseq:NP_036478|refseq:NP_057637|refseq:NP_714940|refseq:NP_714941,affinity chromatography technology,10753899,Low throughput,BioGRID,,,
122,O15294,OGT,Homo sapiens (Human),P68400,CSNK2A1,Casein kinase II subunit alpha,refseq:NP_001886|refseq:NP_808227|refseq:NP_808228,affinity chromatography technology,10753899,Low throughput,BioGRID,,,
123,O15294,OGT,Homo sapiens (Human),P67870,CSNK2B,Casein kinase II subunit beta,refseq:NP_001269314|refseq:NP_001311,affinity chromatography technology,10753899,Low throughput,BioGRID,,,
124,O15294,OGT,Homo sapiens (Human),O15294,OGT,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,refseq:NP_858058|refseq:NP_858059|refseq:XP_016885396|refseq:XP_016885397,affinity chromatography technology,10753899,Low throughput,BioGRID,,,
125,P56558,OGT,Rattus norvegicus (Rat),Q63429,Ubc,Polyubiquitin-C,refseq:NP_059010,genetic interference,22871113,Low throughput,BioGRID,,,
126,P56558,OGT,Rattus norvegicus (Rat),O35078,Dao,D-amino-acid oxidase,refseq:NP_446078,genetic interference,21700703,Low throughput,BioGRID,,,
127,P56558,OGT,Rattus norvegicus (Rat),P11275,Camk2a,Calcium/calmodulin-dependent protein kinase type II subunit alpha,refseq:NP_037052,genetic interference,30053369,Low throughput,BioGRID,,,
128,Q8CGY8,OGT,Mus musculus (Mouse),P20263,Pou5f1,"POU domain, class 5, transcription factor 1",refseq:NP_038661,affinity chromatography technology,20362541,High throughput,BioGRID,,,
129,Q8CGY8,OGT,Mus musculus (Mouse),Q61066,Nr0b1,Nuclear receptor subfamily 0 group B member 1,refseq:NP_031456,affinity chromatography technology,20362541,High throughput,BioGRID,,,
